archivo,title,description,summary,activity_code
"fiesta-eficiente.md","Fiesta energéticamente eficiente","Organiza una fiesta en tu comunidad que demuestre formas de ahorrar energía, desde la comida hasta los platos reutilizables.","Celebra con eficiencia energética.","energia-E08"
"fragmentacion-de-habitats.md","Fragmentación de hábitats","Investigación sobre cómo la fragmentación de hábitats afecta la diversidad genética y el debate sobre casos locales.","Debatir sobre fragmentación de hábitats.","biodiversidad-D14"
"iluminando-y-empoderando.md","Iluminando y empoderando","Organiza un Día de Concientización Energética en tu comunidad con carteles y volantes para educar sobre el ahorro de energía.","Ilumina a tu comunidad sobre energía.","energia-E14"
"reciclaje-de-papel-biodiversidad.md","Reciclaje de papel","Fabricación de papel reciclado para entender cómo el reciclaje ayuda a conservar la biodiversidad.","Fabricar papel reciclado.","biodiversidad-C21"
"estudios-sobre-desastres.md","Estudios sobre desastres","Evaluación de la resiliencia de tu ciudad frente a desastres naturales y propuesta de mejoras para su preparación.","Evaluar la resiliencia de tu ciudad frente a desastres.","ciudadesverdes-B10"
"apoya-a-las-abejas.md","¡Apoyá a las abejas!","Organización de un día para que apicultores locales muestren y vendan sus productos, apoyando su trabajo y la conservación.","Apoyar a apicultores locales.","polinizadores-D06"
"compras-inteligentes.md","Compras inteligentes","Actividad práctica para aprender a hacer compras sostenibles observando y analizando los hábitos de compra familiar.","Aprender a hacer compras sostenibles.","cambioclimatico-E06"
"mundo-sin-hambre.md","Mundo sin hambre","Únete a jóvenes de todo el mundo para crear un mundo libre de hambre.","Alianza global contra el hambre.","sacc-B19"
"no-desperdicies-y-nada-te-faltara.md","No desperdicies y nada te faltará","Seguimiento del desperdicio de alimentos en el hogar y desarrollo de estrategias para reducirlo.","Reducir el desperdicio de alimentos.","cambioclimatico-E12"
"haz-una-conserva.md","Haz una Conserva","Investiga técnicas tradicionales de conserva de alimentos de tu cultura y de otras culturas.","Investigación sobre técnicas de conserva.","nutricion-C06"
"el-diario-de-comidas.md","El Diario de Comidas","Lleva un registro detallado de tu alimentación durante una semana para evaluar y mejorar tu dieta.","Registro y análisis de hábitos alimenticios.","nutricion-B02"
"diario-de-alimentos-polinizadores.md","Diario de alimentos","Seguimiento de los alimentos consumidos en un día para investigar cómo fueron producidos y su relación con los polinizadores.","Investigar la producción de tus alimentos.","polinizadores-B04"
